Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,23.4555,23.6364,23.123899,23.395201,23.395201,13353397
11/2/2018,23.5158,24.6614,23.5158,24.480499,24.480499,20560814
11/5/2018,24.601101,25.2945,24.2997,25.174,25.174,28505333
11/6/2018,25.2945,25.596001,25.023199,25.4151,25.4151,18073858
11/7/2018,25.8071,25.8071,25.2041,25.385,25.385,2564038
11/9/2018,25.445299,25.6262,24.9328,25.475401,25.475401,17514651
11/12/2018,25.6262,25.6262,24.3901,24.601101,24.601101,14845847
11/13/2018,24.3901,24.691601,23.425301,24.570999,24.570999,20938007
11/14/2018,24.3298,25.324699,23.847401,24.9629,24.9629,43071531
11/15/2018,24.2092,24.4202,21.857599,22.249599,22.249599,94308835
11/16/2018,22.3099,26.470301,21.827499,25.9277,25.9277,161233620
11/19/2018,25.475401,26.5306,24.0585,25.746799,25.746799,103778345
11/20/2018,25.324699,26.440201,24.782,25.5357,25.5357,57003384
11/21/2018,25.5357,27.4652,25.475401,26.862301,26.862301,80890207
11/22/2018,26.41,26.982901,24.601101,24.993099,24.993099,75852625
11/26/2018,25.113701,25.8372,23.726801,24.028299,24.028299,70503529
11/27/2018,23.998199,24.480499,23.0334,23.365,23.365,48774411
11/28/2018,23.365,23.6364,22.6113,22.7922,22.7922,33672121
11/29/2018,23.0334,23.153999,22.0385,22.822399,22.822399,41029630
11/30/2018,22.6113,22.701799,21.1642,21.2848,21.2848,76877788
12/3/2018,21.4958,22.068701,21.1642,21.4958,21.4958,49304037
12/4/2018,21.827499,21.978201,21.0135,21.224501,21.224501,40270057
12/5/2018,21.0135,21.073799,20.3804,20.531099,20.531099,42861571
12/6/2018,20.440599,20.4708,19.898001,20.229601,20.229601,42070216
12/7/2018,20.440599,20.681801,20.0487,20.3804,20.3804,37103695
12/10/2018,20.0186,20.1693,19.686899,19.898001,19.898001,24222161
12/11/2018,19.686899,21.375299,19.295,20.651699,20.651699,45855813
12/12/2018,20.6215,21.4958,20.531099,20.8929,20.8929,33808728
12/13/2018,21.0436,21.5863,20.923,21.0436,21.0436,32173218
12/14/2018,21.3451,22.731899,21.2547,21.827499,21.827499,69498640
12/17/2018,21.978201,22.2194,21.556101,21.948099,21.948099,30840403
12/18/2018,21.948099,22.731899,21.737,22.4907,22.4907,26496425
12/19/2018,22.6113,22.973101,22.4907,22.7621,22.7621,25778284
12/20/2018,22.520901,23.1842,22.4606,23.0334,23.0334,22538376
12/21/2018,23.2143,23.425301,22.6113,23.0937,23.0937,59019322
12/24/2018,23.063601,23.0937,22.400299,22.520901,22.520901,27864216
12/26/2018,22.3701,22.6113,21.9179,22.4606,22.4606,28065121
12/27/2018,22.731899,22.9128,22.279699,22.400299,22.400299,24583190
12/28/2018,22.4606,22.973101,22.4606,22.6113,22.6113,19545690
12/31/2018,22.731899,22.973101,22.6716,22.7621,22.7621,12132313
